
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    hght    

1-0     14.708  4.13    0       -1.15   287.92  356.82  99.94   0.5     
1-1     12.173  4.31    0       -1.19   230.47  292.59  99.94   0.55    
1-2     9.7421  4.52    0       -1.22   188.04  233.88  99.93   0.6     
1-3     7.5153  4.75    0       -1.24   156.13  181.19  99.93   0.65    
1-4     5.5882  5       0       -1.25   131.8   134.66  99.93   0.7     
1-5     4.0334  5.28    0       -1.23   113.08  94.442  99.93   0.75    
1-6     2.8819  5.58    0       -1.19   98.668  60.779  99.92   0.8     
1-7     2.1161  5.89    0       -1.13   87.712  34.048  99.92   0.85    
1-8     1.6803  6.2     0       -1.05   79.691  14.693  99.92   0.9     
1-9     1.4913  6.48    0       -0.95   74.324  3.1315  99.92   0.95    
1-10    1.4304  6.73    0       -0.82   71.519  -0.342  99.91   1       
1-11    1.4371  6.92    0       -0.66   71.338  4.3558  99.91   1.05    
1-12    1.615   7.02    0       -0.49   73.98   17.066  99.91   1.1     
1-13    2.0961  7.04    0       -0.3    79.777  37.413  99.91   1.15    
1-14    2.9495  6.99    0       -0.09   89.205  64.887  99.92   1.2     
1-15    4.2092  6.89    0       0       102.92  98.948  99.92   1.25    
1-16    5.8536  6.75    0       0       121.8   139.12  99.92   1.3     
1-17    7.8091  6.61    0       0       147.1   185.04  99.93   1.35    
1-18    9.9814  6.47    0       0       180.64  236.49  99.93   1.4     
1-19    12.283  6.35    0       0       225.13  293.26  99.93   1.45    

Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    hght    

2-0     14.708  4.13    0       -1.15   287.92  356.82  99.94   0.5     
2-1     12.173  4.31    0       -1.19   230.47  292.59  99.94   0.55    
2-2     9.7421  4.52    0       -1.22   188.04  233.88  99.93   0.6     
2-3     7.5153  4.75    0       -1.24   156.13  181.19  99.93   0.65    
2-4     5.5882  5       0       -1.25   131.8   134.66  99.93   0.7     
2-5     4.0334  5.28    0       -1.23   113.08  94.442  99.93   0.75    
2-6     2.8819  5.58    0       -1.19   98.668  60.779  99.92   0.8     
2-7     2.1161  5.89    0       -1.13   87.712  34.048  99.92   0.85    
2-8     1.6803  6.2     0       -1.05   79.691  14.693  99.92   0.9     
2-9     1.4913  6.48    0       -0.95   74.324  3.1315  99.92   0.95    
2-10    1.4304  6.73    0       -0.82   71.519  -0.342  99.91   1       
2-11    1.4371  6.92    0       -0.66   71.338  4.3558  99.91   1.05    
2-12    1.615   7.02    0       -0.49   73.98   17.066  99.91   1.1     
2-13    2.0961  7.04    0       -0.3    79.777  37.413  99.91   1.15    
2-14    2.9495  6.99    0       -0.09   89.205  64.887  99.92   1.2     
2-15    4.2092  6.89    0       0       102.92  98.948  99.92   1.25    
2-16    5.8536  6.75    0       0       121.8   139.12  99.92   1.3     
2-17    7.8091  6.61    0       0       147.1   185.04  99.93   1.35    
2-18    9.9814  6.47    0       0       180.64  236.49  99.93   1.4     
2-19    12.283  6.35    0       0       225.13  293.26  99.93   1.45    

Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    hght    

3-0     14.708  4.13    0       -1.15   287.92  356.82  99.94   0.5     
3-1     12.173  4.31    0       -1.19   230.47  292.59  99.94   0.55    
3-2     9.7421  4.52    0       -1.22   188.04  233.88  99.93   0.6     
3-3     7.5153  4.75    0       -1.24   156.13  181.19  99.93   0.65    
3-4     5.5882  5       0       -1.25   131.8   134.66  99.93   0.7     
3-5     4.0334  5.28    0       -1.23   113.08  94.442  99.93   0.75    
3-6     2.8819  5.58    0       -1.19   98.668  60.779  99.92   0.8     
3-7     2.1161  5.89    0       -1.13   87.712  34.048  99.92   0.85    
3-8     1.6803  6.2     0       -1.05   79.691  14.693  99.92   0.9     
3-9     1.4913  6.48    0       -0.95   74.324  3.1315  99.92   0.95    
3-10    1.4304  6.73    0       -0.82   71.519  -0.342  99.91   1       
3-11    1.4371  6.92    0       -0.66   71.338  4.3558  99.91   1.05    
3-12    1.615   7.02    0       -0.49   73.98   17.066  99.91   1.1     
3-13    2.0961  7.04    0       -0.3    79.777  37.413  99.91   1.15    
3-14    2.9495  6.99    0       -0.09   89.205  64.887  99.92   1.2     
3-15    4.2092  6.89    0       0       102.92  98.948  99.92   1.25    
3-16    5.8536  6.75    0       0       121.8   139.12  99.92   1.3     
3-17    7.8091  6.61    0       0       147.1   185.04  99.93   1.35    
3-18    9.9814  6.47    0       0       180.64  236.49  99.93   1.4     
3-19    12.283  6.35    0       0       225.13  293.26  99.93   1.45    
